SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/3/2019","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.017472","0"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000531","0"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{12DA282F-7E96-49E2-983A-9A65DA2A4866}","Storage","Tables","All","Read Operations","0.0007","0.00000028"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{211E620C-EBCF-4DB5-A7FD-996ABEBE9546}","Storage","General Block Blob","All","Write Operations","0.0004","0.00000016"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","Zone 1","Data Transfer In","2.4E-05","0"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{40551B4C-E8BE-48ED-B70B-F8D25C7DE724}","Storage","General Block Blob","All","Read Operations","0.0027","0.00000108"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{62368663-0D02-4C32-B636-60477C0F2FB4}","SQL Database","Single/Elastic Pool General Purpose - Storage","US West 2","Data Stored","1.006442","0.11574083"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{6F344F4B-7C91-4026-915A-A1B597793BE1}","SQL Database","Single/Elastic Pool General Purpose - SQL License","All","vCore","34","3.4"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{923978E1-FD3F-4BD5-A798-F4B533057E46}","Storage","General Block Blob","All","Delete Operations","0.0002","0.00000008"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{9CB0BDE8-BC0D-468C-8423-A25FE06779D3}","Storage","Tables","All","Write Operations","0.0005","0.0000002"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{B9E5E77C-A0B3-4A2C-9B8B-57FA54F31C52}","Storage","Tables","All","Batch Write Operations","0.0115","0.0000046"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{C3482E61-E031-4773-ADCF-BBDF04F9EF2B}","SQL Database","Single/Elastic Pool General Purpose - Compute Gen5","US West 2","vCore","34","5.1748"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{F779BB34-3C2E-408D-A0DE-9903FE877840}","Advanced Data Security","SQL Database","All","Standard Trial Node","0.022849","0"
"Azure for Students","{6552CD6F-890A-4231-ABFE-754BD8A937D5}","11/4/2019","{F8C187BB-5A47-46AE-B874-F186D207FFF4}","Storage","General Block Blob","All","List and Create Container Operations","0.0023","0.00000092"
